probe_id,mean_control,mean_dmd,log2FC
204620_s_at,7.140838820333333,10.1662129968125,3.0253741764791675
223361_at,3.3341902303333337,6.3558868658125,3.021696635479166
213068_at,6.878883839,9.9001984999375,3.0213146609375006
204122_at,5.7040437315,8.720860040625,3.0168163091250007
204052_s_at,4.6008372665,7.612431886687501,3.011594620187501
227647_at,3.3334083488333337,6.3441814844375,3.010773135604166
204112_s_at,6.663111091666667,9.669944951,3.006833859333333
232231_at,3.5260844796666664,6.531045535312498,3.0049610556458317
214770_at,2.754421663166666,5.7576363354375,3.003214672270834
1552767_a_at,5.510634264499999,8.512731316,3.0020970515000007
210644_s_at,2.6927623853333333,5.693679644125,3.0009172587916666
228492_at,4.779405466166667,7.7793566915,2.9999512253333336
207175_at,5.336452296666667,8.3323952143125,2.9959429176458334
203698_s_at,6.312848365500002,9.30519275025,2.992344384749999
201666_at,8.056166134333333,11.048221470499998,2.992055336166665
202902_s_at,4.337995047000001,7.322656453375,2.9846614063749994
208851_s_at,5.047127235333334,8.0310135588125,2.983886323479166
204588_s_at,4.1474664143333335,7.127877010125,2.9804105957916667
230391_at,3.7685453943333336,6.746700227062501,2.9781548327291674
